a,b,c
1,亜,亞　 
2,唖,啞　瘂　 
3,悪,惡　 
4,芦,蘆　 
5,鯵,鰺　 
6,圧,壓　 
7,庵,菴　葊　 
8,案,桉　 
9,囲,圍　 
10,為,爲　 
11,医,醫　 
12,育,毓　 
13,一,弌　 
14,壱,壹　 
15,稲,稻　 
16,因,囙　 
17,姻,婣　 
18,飲,飮　 
19,淫,婬　滛　 
20,隠,隱　 
21,陰,阴　隂　 
22,卯,夘　 
23,丑,丒　 
24,嘘,噓　 
25,欝,鬱　 
26,厩,廐　廏　廄　 
27,叡,睿　 
28,営,營　 
29,映,暎　 
30,曳,曵　 
31,栄,榮　 
32,穎,頴　 
33,英,偀　 
34,衛,衞　 
35,詠,咏　 
36,駅,驛　 
37,円,圓　圎　 
38,堰,椻　 
39,焔,焰　 
40,煙,烟　 
41,縁,緣　 
42,艶,艷　豔　豓　 
43,鉛,鈆　 
44,塩,鹽　 
45,汚,汙　 
46,奥,奧　 
47,往,徃　 
48,応,應　 
49,横,橫　 
50,欧,歐　 
51,殴,毆　 
52,鴬,鶯　鸎　 
53,鴎,鷗　 
54,黄,黃　 
55,岡,堽　崗　 
56,沖,冲　 
57,温,溫　 
58,穏,穩　 
59,下,丅　 
60,仮,假　 
61,価,價　 
62,花,芲　 
63,嘩,譁　 
64,蚊,蚉　螡　蟁　 
65,峨,峩　 
66,画,畫　畵　 
67,臥,卧　 
68,会,會　 
69,解,觧　 
70,回,囘　囬　 
71,壊,壞　 
72,廻,廽　迴　 
73,怪,恠　 
74,懐,懷　 
75,界,畍　 
76,絵,繪　 
77,蟹,蠏　 
78,開,开　 
79,階,堦　 
80,貝,蛽　 
81,崖,崕　 
82,概,槩　槪　 
83,碍,礙　 
84,蓋,盖　葢　 
85,柿,柹　 
86,蛎,蠣　 
87,鈎,鉤　 
88,拡,擴　 
89,撹,攪　 
90,殻,殼　壳　 
91,覚,覺　 
92,角,甪　 
93,赫,爀　焃　 
94,学,學　斈　斅　斆　 
95,岳,嶽　 
96,楽,樂　 
97,潟,澙　 
98,轄,鎋　 
99,兜,兠　 
100,竃,竈　灶　 
101,釜,釡　 
102,鎌,鐮　劆　 
103,柏,栢　 
104,萱,蘐　蕿　 
105,粥,鬻　 
106,乾,乹　亁　 
107,勧,勸　 
108,巻,卷　 
109,寛,寬　 
110,幹,榦　 
111,款,欵　歀　 
112,歓,歡　 
113,潅,灌　 
114,缶,罐　缻　 
115,観,觀　 
116,諌,諫　 
117,鑑,鑒　鍳　 
118,間,閒　 
119,関,關　閞　 
120,陥,陷　 
121,館,舘　 
122,巌,巖　嵓　 
123,雁,鴈　鳫　 
124,顔,顏　 
125,喜,憙　憘　囍　 
126,器,噐　 
127,奇,竒　 
128,既,旣　 
129,期,朞　 
130,棋,棊　 
131,棄,弃　 
132,帰,歸　皈　 
133,気,氣　 
134,規,槼　 
135,亀,龜　龟　 
136,偽,僞　 
137,宜,冝　 
138,戯,戲　戱　 
139,犠,犧　 
140,蟻,螘　 
141,掬,匊　 
142,却,卻　 
143,脚,腳　 
144,丘,坵　 
145,窮,竆　匑　穷　 
146,糾,糺　 
147,旧,舊　 
148,去,厺　 
149,拠,據　 
150,挙,擧　舉　 
151,虚,虛　虗　 
152,魚,鱼　 
153,京,亰　 
154,侠,俠　 
155,協,恊　旪　 
156,叫,呌　 
157,峡,峽　 
158,強,强　勥　犟　 
159,挟,挾　 
160,教,敎　 
161,橋,槗　桥　 
162,況,况　 
163,狭,狹　 
164,胸,胷　 
165,郷,鄕　 
166,暁,曉　 
167,欣,惞　俽　 
168,琴,琹　珡　 
169,筋,觔　竻　 
170,倶,俱　 
171,区,區　 
172,躯,軀　 
173,駆,驅　駈　敺　 
174,寓,庽　 
175,靴,鞾　 
176,窪,漥　 
177,桑,桒　枽　 
178,鍬,鍫　 
179,勲,勳　勛　 
180,薫,薰　 
181,群,羣　 
182,啓,諬　啟　唘　啔　 
183,径,徑　逕　 
184,恵,惠　憓　僡　 
185,憩,憇　 
186,携,攜　擕　 
187,渓,溪　谿　 
188,経,經　 
189,継,繼　 
190,繋,繫　 
191,茎,莖　 
192,荊,荆　 
193,蛍,螢　 
194,軽,輕　 
195,頚,頸　 
196,鶏,鷄　雞　 
197,芸,藝　秇　 
198,欠,缺　缼　 
199,決,决　 
200,倹,儉　 
201,剣,劍　劔　劒　剱　釼　劎　 
202,圏,圈　 
203,検,檢　撿　 
204,権,權　 
205,献,獻　 
206,県,縣　 
207,賢,臤　 
208,険,險　 
209,顕,顯　 
210,験,驗　騐　 
211,鹸,鹼　碱　醎　鹹　 
212,原,厡　 
213,厳,嚴　 
214,減,减　 
215,袴,絝　 
216,股,脵　 
217,虎,乕　 
218,鼓,皷　鼔　 
219,呉,吴　吳　 
220,娯,娛　 
221,悟,忢　 
222,侯,矦　 
223,光,灮　炗　 
224,効,效　 
225,巷,衖　 
226,広,廣　 
227,恒,恆　 
228,拘,抅　 
229,晃,晄　 
230,浩,澔　 
231,稿,稾　藳　稁　 
232,紘,綋　 
233,耕,畊　 
234,鉱,鑛　 
235,砿,礦　 
236,高,髙　 
237,劫,刧　刦　刼　 
238,号,號　 
239,轟,軣　 
240,国,國　圀　囶　囻　 
241,穀,糓　榖　 
242,黒,黑　 
243,昏,昬　 
244,嵯,嵳　 
245,鎖,鏁　鎻　 
246,歳,歲　嵗　 
247,済,濟　 
248,災,灾　烖　 
249,砕,碎　 
250,斎,齋　 
251,剤,劑　 
252,財,戝　 
253,冴,冱　沍　 
254,崎,嵜　﨑　 
255,埼,碕　 
256,柵,栅　 
257,策,敇　 
258,桜,櫻　 
259,冊,册　 
260,殺,煞　 
261,雑,雜　襍　 
262,皐,皋　臯　 
263,晒,曬　 
264,三,弎　 
265,傘,仐　伞　 
266,参,參　叄　叅　 
267,惨,慘　 
268,桟,棧　 
269,蚕,蠶　 
270,讃,讚　 
271,賛,贊　 
272,餐,湌　 
273,残,殘　 
274,四,亖　 
275,姉,姊　 
276,糸,絲　 
277,紙,帋　 
278,視,眎　眂　眡　 
279,歯,齒　 
280,事,亊　叓　 
281,児,兒　 
282,時,时　峕　 
283,爾,尓　尔　 
284,璽,壐　玺　 
285,辞,辭　 
286,湿,濕　溼　 
287,質,貭　 
288,実,實　 
289,篠,筱　 
290,蕊,蘂　蕋　蘃　 
291,舎,舍　 
292,写,冩　寫　 
293,煮,煑　 
294,蛇,虵　 
295,釈,釋　 
296,守,垨　 
297,呪,咒　 
298,寿,壽　 
299,収,收　 
300,秋,秌　穐　龝　 
301,繍,繡　 
302,臭,狊　 
303,衆,乑　眾　 
304,讐,讎　 
305,蹴,蹵　 
306,酬,酧　 
307,従,從　 
308,渋,澁　澀　 
309,獣,獸　 
310,縦,縱　 
311,粛,肅　 
312,淳,湻　 
313,準,凖　 
314,醇,醕　 
315,処,處　 
316,叙,敍　敘　 
317,嘗,甞　 
318,奨,奬　獎　 
319,将,將　 
320,廠,厰　 
321,昇,曻　 
322,松,枩　柗　梥　枀　 
323,渉,涉　 
324,焼,燒　 
325,照,瞾　 
326,称,稱　穪　 
327,蒋,蔣　 
328,証,證　 
329,醤,醬　 
330,上,丄　 
331,乗,乘　 
332,冗,宂　 
333,剰,剩　 
334,場,塲　 
335,壌,壤　 
336,嬢,孃　 
337,条,條　 
338,浄,淨　 
339,状,狀　 
340,畳,疊　疉　疂　叠　 
341,穣,穰　 
342,譲,讓　 
343,醸,釀　 
344,嘱,囑　 
345,飾,餝　餙　 
346,職,軄　 
347,触,觸　 
348,唇,脣　 
349,伸,訷　 
350,寝,寢　 
351,審,宷　 
352,慎,愼　 
353,晋,晉　 
354,真,眞　 
355,刃,刄　 
356,尽,盡　 
357,靭,靫　靱　韌　 
358,酢,醋　 
359,図,圖　啚　圗　 
360,厨,廚　橱　 
361,垂,埀　 
362,粋,粹　 
363,水,氺　 
364,翠,翆　 
365,酔,醉　 
366,随,隨　 
367,髄,膸　髓　 
368,数,數　 
369,枢,樞　 
370,雛,鶵　 
371,杉,椙　杦　 
372,澄,澂　 
373,世,丗　卋　 
374,瀬,瀨　 
375,畝,畆　畒　 
376,是,昰　 
377,凄,淒　 
378,勢,势　 
379,整,愸　 
380,晴,暒　 
381,棲,栖　捿　 
382,清,淸　 
383,声,聲　 
384,青,靑　 
385,静,靜　 
386,斉,齊　亝　斊　 
387,税,稅　 
388,脆,脃　 
389,摂,攝　 
390,説,說　 
391,窃,竊　 
392,絶,絕　 
393,蝉,蟬　 
394,専,專　 
395,戦,戰　 
396,浅,淺　 
397,潜,潛　濳　 
398,線,綫　 
399,繊,纖　纎　 
400,船,舩　 
401,賎,賤　 
402,践,踐　 
403,銭,錢　 
404,前,歬　 
405,善,譱　 
406,禅,禪　 
407,膳,饍　 
408,曽,曾　 
409,疎,踈　 
410,蘇,蘓　 
411,遡,溯　 
412,鼠,鼡　 
413,双,雙　 
414,壮,壯　 
415,匝,帀　 
416,捜,搜　 
417,挿,插　揷　 
418,掻,搔　 
419,曹,曺　 
420,巣,巢　 
421,争,爭　 
422,痩,瘦　膄　 
423,窓,窗　牕　牎　窻　 
424,総,總　緫　縂　 
425,聡,聰　聦　聪　 
426,荘,莊　庄　庒　 
427,葬,塟　 
428,装,裝　 
429,走,赱　 
430,騒,騷　 
431,増,增　 
432,臓,臟　 
433,蔵,藏　 
434,即,卽　 
435,属,屬　 
436,続,續　 
437,卒,卆　 
438,多,夛　 
439,堕,墮　 
440,舵,柁　 
441,楕,橢　 
442,陀,陁　 
443,駄,馱　 
444,騨,驒　 
445,体,躰　軆　體　骵　 
446,堆,垖　 
447,対,對　 
448,帯,帶　 
449,滞,滯　 
450,袋,帒　 
451,台,臺　 
452,滝,瀧　 
453,卓,桌　 
454,択,擇　 
455,沢,澤　 
456,鐸,鈬　 
457,達,逹　 
458,竪,豎　 
459,狸,貍　 
460,単,單　单　 
461,担,擔　 
462,箪,簞　 
463,耽,躭　 
464,胆,膽　 
465,鍛,煅　 
466,団,團　 
467,弾,彈　 
468,断,斷　 
469,恥,耻　 
470,痴,癡　 
471,稚,穉　稺　 
472,遅,遲　 
473,蓄,稸　 
474,昼,晝　 
475,虫,蟲　 
476,鋳,鑄　 
477,瀦,潴　 
478,猪,豬　 
479,帳,賬　 
480,庁,廳　廰　 
481,徴,徵　 
482,町,甼　 
483,聴,聽　 
484,腸,膓　 
485,長,镸　 
486,勅,敕　勑　欶　 
487,沈,沉　 
488,珍,珎　 
489,鎮,鎭　 
490,掴,摑　 
491,壷,壺　 
492,鶴,寉　靎　靍　靏　 
493,堤,埞　 
494,碇,椗　 
495,蹄,蹏　 
496,逓,遞　 
497,泥,坭　 
498,哲,喆　嚞　埑　悊　 
499,鉄,銕　鐵　鐡　 
500,填,塡　 
501,纏,纒　 
502,転,轉　 
503,顛,顚　 
504,点,點　 
505,伝,傳　 
506,兎,兔　莵　 
507,砺,礪　 
508,努,伮　 
509,土,圡　 
510,党,黨　 
511,島,嶌　嶋　隝　 
512,梼,檮　 
513,盗,盜　 
514,涛,濤　 
515,灯,燈　 
516,当,當　 
517,祷,禱　 
518,統,綂　 
519,逃,迯　 
520,闘,鬪　 
521,働,仂　 
522,同,仝　 
523,道,衟　 
524,徳,德　悳　 
525,涜,瀆　 
526,独,獨　 
527,読,讀　 
528,栃,杤　 
529,突,宊　 
530,届,屆　 
531,酉,丣　 
532,呑,吞　 
533,奈,柰　 
534,内,內　 
535,縄,繩　 
536,楠,枏　柟　 
537,二,弍　 
538,弐,貳　貮　 
539,迩,邇　 
540,韮,韭　 
541,妊,姙　 
542,祢,禰　 
543,廼,迺　 
544,野,壄　墅　埜　 
545,嚢,囊　 
546,悩,惱　 
547,脳,腦　 
548,覇,霸　 
549,罵,駡　 
550,廃,廢　 
551,拝,拜　 
552,敗,贁　 
553,杯,盃　桮　 
554,輩,軰　 
555,梅,楳　 
556,売,賣　 
557,蝿,蠅　蝇　 
558,矧,矤　 
559,剥,剝　 
560,迫,廹　 
561,麦,麥　 
562,函,凾　 
563,肇,肈　 
564,櫨,枦　 
565,鉢,缽　 
566,溌,潑　 
567,発,發　 
568,醗,醱　 
569,髪,髮　 
570,罰,罸　 
571,抜,拔　 
572,筏,栰　 
573,飯,飰　 
574,蛮,蠻　 
575,秘,祕　 
576,備,僃　俻　偹　 
577,毘,毗　 
578,稗,薭　 
579,髭,頾　 
580,彦,彥　 
581,弼,弻　 
582,筆,笔　 
583,桧,檜　 
584,姫,姬　 
585,氷,冰　 
586,廟,庿　庙　 
587,彬,斌　份　 
588,浜,濱　濵　 
589,賓,賔　 
590,瓶,甁　 
591,富,冨　 
592,敷,旉　 
593,普,暜　 
594,膚,肤　 
595,譜,諩　 
596,舞,儛　 
597,部,郶　 
598,風,凬　凮　凨　 
599,淵,渕　渊　 
600,払,拂　 
601,仏,佛　 
602,併,倂　 
603,幣,幤　 
604,並,竝　 
605,閉,閇　 
606,箆,篦　 
607,変,變　 
608,辺,邊　邉　 
609,弁,辨　辧　瓣　辯　 
610,舗,舖　鋪　 
611,歩,步　 
612,穂,穗　 
613,宝,寶　寳　珤　寚　 
614,峰,峯　 
615,法,灋　 
616,萌,萠　 
617,蜂,蠭　 
618,褒,襃　 
619,豊,豐　 
620,冒,冐　 
621,貌,皃　 
622,頬,頰　 
623,没,沒　 
624,幌,縨　 
625,本,夲　 
626,翻,飜　 
627,凡,凢　 
628,麻,蔴　 
629,毎,每　 
630,槙,槇　 
631,桝,枡　 
632,侭,儘　 
633,万,萬　 
634,満,滿　 
635,漫,澷　熳　 
636,蓑,簑　簔　 
637,脈,脉　衇　 
638,妙,玅　竗　 
639,夢,梦　夣　 
640,無,无　 
641,婿,壻　聟　 
642,明,朙　 
643,面,靣　 
644,麺,麪　麫　麵　糆　 
645,猛,勐　 
646,黙,默　嘿　 
647,餅,餠　 
648,弥,彌　 
649,矢,笶　 
650,薬,藥　 
651,訳,譯　 
652,柳,栁　桺　 
653,薮,籔　藪　 
654,癒,瘉　 
655,勇,勈　 
656,予,豫　 
657,余,餘　 
658,与,與　 
659,誉,譽　 
660,揺,搖　 
661,様,樣　 
662,窯,窰　 
663,耀,燿　 
664,謡,謠　 
665,踊,踴　 
666,陽,阳　阦　 
667,養,羪　 
668,裸,躶　 
669,来,來　 
670,莱,萊　 
671,頼,賴　 
672,雷,靁　 
673,乱,亂　 
674,覧,覽　 
675,李,杍　 
676,梨,棃　 
677,裏,裡　 
678,略,畧　 
679,溜,澑　 
680,留,畄　畱　 
681,竜,龍　 
682,両,兩　 
683,涼,凉　 
684,猟,獵　 
685,瞭,暸　 
686,糧,粮　 
687,緑,綠　 
688,隣,鄰　 
689,瑠,璢　 
690,塁,壘　 
691,涙,泪　 
692,類,类　 
693,励,勵　 
694,礼,禮　 
695,隷,隸　 
696,霊,靈　灵　霛　 
697,齢,齡　 
698,暦,曆　 
699,歴,歷　 
700,恋,戀　 
701,聯,聨　 
702,炉,爐　 
703,労,勞　劳　 
704,婁,娄　 
705,朗,朖　 
706,楼,樓　 
707,篭,籠　 
708,蝋,蠟　 
709,禄,祿　禒　 
710,録,錄　 
711,和,咊　 
712,亘,亙　 
713,湾,灣　 
714,碗,埦　 
715,仞,仭　 
716,佇,伫　 
717,俎,爼　 
718,倅,伜　 
719,倆,俩　 
720,僊,僲　 
721,僭,僣　 
722,儔,俦　 
723,冉,冄　 
724,胄,伷　 
725,冤,寃　 
726,冦,寇　宼　 
727,冪,羃　 
728,冽,洌　 
729,凅,涸　 
730,凛,凜　 
731,刊,刋　 
732,剋,尅　 
733,剳,箚　劄　 
734,匆,匇　 
735,匯,滙　 
736,匳,奩　匲　奁　 
737,卮,巵　 
738,厖,庬　 
739,厠,廁　 
740,厦,廈　 
741,厮,廝　 
742,燮,爕　 
743,吽,呍　 
744,咤,咜　吒　 
745,喀,咯　 
746,嗅,齅　 
747,嘔,呕　 
748,嘯,嘨　 
749,噪,譟　 
750,嚔,嚏　 
751,囓,齧　 
752,址,阯　 
753,埒,埓　 
754,塹,壍　 
755,壜,罎　 
756,壟,壠　 
757,夾,夹　 
758,奘,弉　 
759,佞,侫　 
760,妍,姸　 
761,嫋,嬝　 
762,嫦,姮　 
763,嫩,嫰　 
764,嫺,嫻　 
765,嬲,嫐　 
766,尠,尟　 
767,尢,尣　 
768,屏,屛　 
769,崑,崐　 
770,崙,崘　 
771,嵌,篏　 
772,嶢,嶤　 
773,巒,峦　 
774,幇,幚　幫　 
775,廸,迪　 
776,彝,彜　 
777,彎,弯　 
778,彑,彐　 
779,彗,蔧　 
780,彿,髴　 
781,徊,佪　 
782,很,佷　 
783,徇,狥　 
784,徭,傜　 
785,怱,忩　悤　 
786,悍,猂　 
787,悋,恡　 
788,悴,忰　 
789,慍,愠　 
790,愨,慤　 
791,愧,媿　 
792,慙,慚　 
793,憖,憗　慭　 
794,憔,嫶　 
795,憚,惮　 
796,憑,慿　 
797,懣,懑　 
798,懺,懴　 
799,戛,戞　 
800,扠,扨　 
801,捏,揑　 
802,擡,抬　 
803,攬,擥　 
804,攅,攢　 
805,攣,挛　 
806,攫,爴　 
807,斟,酙　 
808,旆,斾　 
809,旛,旙　 
810,晢,晣　 
811,曠,昿　 
812,朶,朵　 
813,傑,杰　 
814,档,檔　 
815,椢,槶　 
816,棕,椶　 
817,楫,檝　 
818,槁,槀　 
819,榴,橊　 
820,槞,櫳　 
821,樅,枞　 
822,樒,櫁　 
823,檗,蘗　 
824,櫟,檪　 
825,欅,櫸　 
826,櫺,欞　棂　 
827,欒,栾　 
828,歟,欤　 
829,歿,殁　 
830,殲,殱　 
831,毟,毮　 
832,氈,毡　氊　 
833,汳,汴　 
834,泯,冺　 
835,洶,汹　 
836,滾,滚　 
837,滲,渗　涁　 
838,潸,澘　 
839,澳,澚　 
840,炯,烱　 
841,煕,熈　熙　凞　 
842,熏,燻　 
843,熹,暿　熺　 
844,燼,烬　 
845,爿,丬　 
846,犂,犁　 
847,犲,豺　 
848,狢,貉　 
849,倏,倐　 
850,猊,貎　 
851,猯,貒　 
852,猩,狌　 
853,獏,貘　 
854,玳,瑇　 
855,琅,瑯　 
856,瑙,碯　 
857,瑶,瑤　 
858,瓔,珱　 
859,甌,瓯　 
860,畭,畬　畲　 
861,疆,壃　畺　疅　 
862,疇,畴　 
863,疣,肬　 
864,瘤,癅　 
865,瘻,瘘　 
866,癇,癎　 
867,皎,晈　 
868,皖,晥　 
869,皸,皹　 
870,盪,蘯　 
871,眥,眦　 
872,眷,睠　 
873,瞠,瞪　 
874,瞰,矙　 
875,矚,瞩　 
876,稟,禀　 
877,筐,筺　 
878,笄,筓　 
879,筍,笋　箰　 
880,箏,筝　 
881,籌,筹　 
882,籐,籘　 
883,籤,籖　 
884,粳,稉　秔　 
885,粽,糭　 
886,絅,綗　 
887,絋,絖　纊　 
888,絆,靽　 
889,絛,縧　 
890,繦,繈　 
891,繃,綳　 
892,纃,緕　 
893,纉,纘　 
894,罌,甇　 
895,网,罒　罓　 
896,羈,羇　覊　 
897,羹,羮　 
898,耋,耊　 
899,胚,肧　 
900,腆,倎　 
901,脾,腗　 
902,胼,腁　 
903,膂,膐　 
904,膣,腟　 
905,膾,脍　 
906,臘,臈　 
907,艫,舮　 
908,艱,囏　 
909,苡,苢　 
910,苺,莓　 
911,茘,荔　 
912,莅,蒞　 
913,莢,荚　 
914,萼,蕚　 
915,薺,萕　 
916,藜,蔾　 
917,蘊,藴　薀　蕰　 
918,虱,蝨　 
919,蚋,蜹　 
920,蛛,蟵　 
921,雖,虽　 
922,蟇,蟆　 
923,螻,蝼　 
924,蠎,蟒　 
925,蠹,蠧　螙　 
926,衄,衂　 
927,袞,衮　 
928,衽,袵　 
929,裙,裠　 
930,裴,裵　 
931,褓,緥　 
932,襌,褝　 
933,襠,裆　 
934,襭,擷　 
935,襾,覀　 
936,覓,覔　 
937,訶,哬　 
938,謚,諡　 
939,謫,讁　 
940,譖,譛　 
941,谺,岈　 
942,貂,鼦　 
943,貔,豼　 
944,齎,賷　賫　 
945,贓,賍　贜　 
946,蹶,蹷　 
947,躊,踌　 
948,躙,躪　 
949,躬,躳　 
950,輙,輒　 
951,輜,輺　 
952,輌,輛　 
953,轜,輀　 
954,辣,辢　 
955,迥,逈　 
956,遒,逎　 
957,邁,迈　 
958,釁,舋　衅　 
959,鉈,鉇　 
960,銜,衘　 
961,銷,焇　 
962,錙,鍿　 
963,鏥,鏽　 
964,鑪,鈩　 
965,鑽,鑚　 
966,閙,鬧　 
967,閹,剦　 
968,闊,濶　 
969,闃,閴　 
970,陜,陿　 
971,陟,徏　 
972,陦,隯　 
973,隲,騭　 
974,雋,隽　 
975,韜,鞱　 
976,齏,韲　 
977,韻,韵　匀　 
978,頤,頥　 
979,頽,頹　 
980,飄,飃　 
981,飆,颷　飈　飇　飊　 
982,駢,騈　 
983,騾,驘　 
984,驕,憍　 
985,驢,馿　 
986,髯,髥　 
987,鬢,鬂　髩　鬓　 
988,鰮,鰛　 
989,鰤,魳　 
990,鱸,魲　 
991,鳧,鳬　 
992,鴉,鵶　 
993,鴟,鵄　 
994,鵝,鵞　 
995,鶇,鶫　 
996,鶤,鵾　 
997,鷆,鷏　 
998,麩,麸　麬　 
999,鼈,鱉　 
1000,齔,齓　 
1001,齶,腭　 
1002,役,伇　 
1003,兪,俞　 
1004,偬,傯　 
1005,慢,僈　 
1006,兌,兊　 
1007,凭,凴　 
1008,別,别　 
1009,剏,刱　剙　 
1010,刹,剎　 
1011,戮,剹　 
1012,劃,劐　 
1013,勁,劲　 
1014,廿,卄　 
1015,率,卛　 
1016,艸,卝　 
1017,膝,厀　 
1018,夬,叏　 
1019,尉,叞　 
1020,難,叵　 
1021,告,吿　 
1022,呱,哌　 
1023,嚇,哧　 
1024,邑,唈　 
1025,奸,姧　姦　 
1026,寧,寜　 
1027,尚,尙　 
1028,尩,尫　 
1029,屡,屢　 
1030,寅,帍　刁　 
1031,并,幷　 
1032,奕,弈　 
1033,於,扵　 
1034,校,挍　 
1035,槌,搥　 
1036,撲,擈　 
1037,撃,擊　 
1038,晩,晚　 
1039,斗,枓　 
1040,櫃,樻　 
1041,毀,毁　 
1042,得,淂　 
1043,嗽,潄　 
1044,恢,烣　 
1045,亟,焏　 
1046,烽,熢　 
1047,執,犱　 
1048,盆,瓫　 
1049,産,產　 
1050,示,礻　 
1051,年,秊　 
1052,牢,窂　 
1053,芒,笀　 
1054,算,笇　筭　 
1055,芽,笌　 
1056,苳,笗　 
1057,緒,緖　 
1058,承,羕　 
1059,羨,羡　 
1060,脱,脫　 
1061,節,莭　 
1062,暫,蹔　 
1063,鳳,鳯　 
1064,麹,麴　 
1065,麼,麽　 
1066,癸,关　 
1067,簡,蕳　 
1068,閏,閠　壬　 
1069,園,薗　苑　 
1070,歌,謌　哥　 
1071,旗,籏　簱　 
1072,競,竸　竞　 
1073,尭,堯　 
1074,跡,蹟　迹　 
1075,湧,涌　 
1076,遥,遙　 
1077,累,縲　 
1078,墻,牆　墙　 
1079,郎,郞　 
1080,悦,悅　 
1081,惧,懼　 
1082,芻,蒭　 
1083,襪,韈